SID,USA_SSHS,NATURE,LON,LAT,STORM_SPEED,BASIN,DIST2LAND,WMO_WIND,WMO_AGENCY,ISO_TIME,IFLAG,TD9636_STAGE,TD9636_WIND
1987015S16125,-1,TS,122.5,-16.7,8,SI,21,30,bom,1987-01-16 18:00:00,O______O___O_O_,1,25
1987015S16125,-1,TS,122.1,-16.5,6,SI,61,30,bom,1987-01-16 21:00:00,P______O___P_P_,1,25
1987015S16125,-1,TS,121.8,-16.5,5,SI,85,30,bom,1987-01-17 00:00:00,O______O___O_O_,1,25
1987015S16125,-1,TS,121.6,-16.7,4,SI,86,30,bom,1987-01-17 03:00:00,P______O___P_P_,1,26
1987015S16125,-1,TS,121.5,-16.8,4,SI,91,30,bom,1987-01-17 06:00:00,O______O___P_O_,1,28
1987015S16125,-1,TS,121.5,-17.0,4,SI,81,30,bom,1987-01-17 09:00:00,P______O___P_P_,1,29
1987015S16125,-1,TS,121.4,-17.2,4,SI,87,35,bom,1987-01-17 12:00:00,O______V___O_O_,1,30
1987015S16125,-1,TS,121.2,-17.3,6,SI,101,35,bom,1987-01-17 15:00:00,P______O___P_P_,1,34
1987015S16125,0,TS,121.0,-17.6,4,SI,116,40,bom,1987-01-17 18:00:00,O______O___P_O_,1,38
1987015S16125,0,TS,121.0,-17.7,3,SI,117,45,bom,1987-01-17 21:00:00,P______O___P_P_,1,41
1987015S16125,0,TS,120.8,-17.8,6,SI,130,50,bom,1987-01-18 00:00:00,O______O___O_O_,2,45
1987015S16125,0,TS,120.4,-18.0,8,SI,152,50,bom,1987-01-18 03:00:00,P______O___P_P_,2,48
1987015S16125,0,TS,120.0,-18.2,8,SI,183,55,bom,1987-01-18 06:00:00,O______O___P_O_,2,50
1987015S16125,0,TS,119.7,-18.3,7,SI,186,60,bom,1987-01-18 09:00:00,P______O___P_P_,2,53
1987015S16125,0,TS,119.5,-18.6,7,SI,159,60,bom,1987-01-18 12:00:00,O______V___O_O_,2,55
