SID,USA_SSHS,NATURE,LON,LAT,STORM_SPEED,BASIN,DIST2LAND,WMO_WIND,WMO_AGENCY,ISO_TIME,IFLAG,TD9636_STAGE,TD9636_WIND
1983249N15260,-1,TS,-100.0,15.4,3,EP,148,30,hurdat_epa,1983-09-06 06:00:00,O__________O___,1,30
1983249N15260,-1,TS,-100.2,15.3,3,EP,165, , ,1983-09-06 09:00:00,P__________P___,1,30
1983249N15260,-1,TS,-100.3,15.3,2,EP,169,30,hurdat_epa,1983-09-06 12:00:00,O__________O___,1,30
1983249N15260,-1,TS,-100.4,15.3,2,EP,173, , ,1983-09-06 15:00:00,P__________P___,1,31
1983249N15260,0,TS,-100.5,15.3,2,EP,178,35,hurdat_epa,1983-09-06 18:00:00,O__________P___,1,33
1983249N15260,0,TS,-100.7,15.2,3,EP,199, , ,1983-09-06 21:00:00,P__________P___,1,34
1983249N15260,0,TS,-100.8,15.2,2,EP,205,35,hurdat_epa,1983-09-07 00:00:00,O__________O___,2,35
1983249N15260,0,TS,-100.9,15.2,2,EP,211, , ,1983-09-07 03:00:00,P__________P___,2,40
1983249N15260,0,TS,-101.0,15.2,2,EP,217,45,hurdat_epa,1983-09-07 06:00:00,O__________P___,2,45
1983249N15260,0,TS,-101.2,15.2,3,EP,225, , ,1983-09-07 09:00:00,P__________P___,2,50
1983249N15260,0,TS,-101.3,15.3,2,EP,218,55,hurdat_epa,1983-09-07 12:00:00,O__________O___,2,55
1983249N15260,0,TS,-101.4,15.3,2,EP,222, , ,1983-09-07 15:00:00,P__________P___,2,60
1983249N15260,1,TS,-101.5,15.4,3,EP,214,65,hurdat_epa,1983-09-07 18:00:00,O__________O___,3,65
1983249N15260,1,TS,-101.7,15.4,5,EP,222, , ,1983-09-07 21:00:00,P__________P___,3,65
1983249N15260,1,TS,-102.0,15.5,7,EP,223,65,hurdat_epa,1983-09-08 00:00:00,O__________O___,4,65
1983249N15260,1,TS,-102.4,15.7,9,EP,226, , ,1983-09-08 03:00:00,P__________P___,4,74
1983249N15260,2,TS,-102.9,15.9,10,EP,232,90,hurdat_epa,1983-09-08 06:00:00,O__________P___,4,83
1983249N15260,2,TS,-103.3,16.2,11,EP,214, , ,1983-09-08 09:00:00,P__________P___,4,91
1983249N15260,3,TS,-103.8,16.5,11,EP,200,100,hurdat_epa,1983-09-08 12:00:00,O__________O___,4,100
1983249N15260,3,TS,-104.3,16.8,10,EP,188, , ,1983-09-08 15:00:00,P__________P___,4,96
1983249N15260,3,TS,-104.7,17.1,10,EP,184,100,hurdat_epa,1983-09-08 18:00:00,O__________P___,4,93
1983249N15260,2,TS,-105.1,17.3,9,EP,203, , ,1983-09-08 21:00:00,P__________P___,4,89
1983249N15260,2,TS,-105.5,17.6,9,EP,193,85,hurdat_epa,1983-09-09 00:00:00,O__________O___,4,85
1983249N15260,2,TS,-105.9,17.9,9,EP,186, , ,1983-09-09 03:00:00,P__________P___,4,84
1983249N15260,1,TS,-106.3,18.1,9,EP,199,80,hurdat_epa,1983-09-09 06:00:00,O__________P___,4,83
1983249N15260,1,TS,-106.7,18.4,10,EP,206, , ,1983-09-09 09:00:00,P__________P___,4,81
1983249N15260,1,TS,-107.2,18.6,10,EP,234,80,hurdat_epa,1983-09-09 12:00:00,O__________O___,4,80
1983249N15260,2,TS,-107.7,18.8,11,EP,266, , ,1983-09-09 15:00:00,P__________P___,4,81
1983249N15260,2,TS,-108.2,19.0,11,EP,304,85,hurdat_epa,1983-09-09 18:00:00,O__________P___,4,83
1983249N15260,2,TS,-108.8,19.3,12,EP,346, , ,1983-09-09 21:00:00,P__________P___,4,84
1983249N15260,2,TS,-109.3,19.6,10,EP,372,85,hurdat_epa,1983-09-10 00:00:00,O__________O___,4,85
1983249N15260,2,TS,-109.7,19.8,8,EP,346, , ,1983-09-10 03:00:00,P__________P___,4,85
1983249N15260,1,TS,-110.0,20.0,7,EP,324,80,hurdat_epa,1983-09-10 06:00:00,O__________P___,4,85
1983249N15260,2,TS,-110.3,20.1,6,EP,314, , ,1983-09-10 09:00:00,P__________P___,4,85
1983249N15260,2,TS,-110.6,20.3,8,EP,297,85,hurdat_epa,1983-09-10 12:00:00,O__________O___,4,85
1983249N15260,2,TS,-111.0,20.5,9,EP,287, , ,1983-09-10 15:00:00,P__________P___,4,86
1983249N15260,2,TS,-111.5,20.7,8,EP,290,90,hurdat_epa,1983-09-10 18:00:00,O__________P___,4,88
1983249N15260,2,TS,-111.8,20.8,7,EP,299, , ,1983-09-10 21:00:00,P__________P___,4,89
1983249N15260,2,TS,-112.2,20.9,7,EP,318,90,hurdat_epa,1983-09-11 00:00:00,O__________O___,4,90
1983249N15260,2,TS,-112.6,21.0,8,EP,342, , ,1983-09-11 03:00:00,P__________P___,4,90
1983249N15260,2,TS,-113.0,21.1,8,EP,368,90,hurdat_epa,1983-09-11 06:00:00,O__________P___,4,90
1983249N15260,2,TS,-113.4,21.2,8,EP,398, , ,1983-09-11 09:00:00,P__________P___,4,90
1983249N15260,2,TS,-113.8,21.4,8,EP,402,90,hurdat_epa,1983-09-11 12:00:00,O__________O___,4,90
1983249N15260,2,TS,-114.2,21.5,9,EP,415, , ,1983-09-11 15:00:00,P__________P___,4,86
1983249N15260,2,TS,-114.7,21.7,10,EP,427,85,hurdat_epa,1983-09-11 18:00:00,O__________P___,4,83
1983249N15260,1,TS,-115.2,21.9,10,EP,445, , ,1983-09-11 21:00:00,P__________P___,4,79
1983249N15260,1,TS,-115.7,22.1,11,EP,467,75,hurdat_epa,1983-09-12 00:00:00,O__________O___,4,75
1983249N15260,1,TS,-116.2,22.3,11,EP,494, , ,1983-09-12 03:00:00,P__________P___,4,73
1983249N15260,1,TS,-116.8,22.5,11,EP,534,65,hurdat_epa,1983-09-12 06:00:00,O__________P___,4,70
1983249N15260,1,TS,-117.4,22.5,10,EP,588, , ,1983-09-12 09:00:00,P__________P___,4,68
1983249N15260,1,TS,-117.9,22.6,10,EP,623,65,hurdat_epa,1983-09-12 12:00:00,O__________O___,4,65
1983249N15260,0,TS,-118.4,22.7,10,EP,644, , ,1983-09-12 15:00:00,P__________P___,4,61
1983249N15260,0,TS,-118.9,22.9,10,EP,660,55,hurdat_epa,1983-09-12 18:00:00,O__________P___,4,58
1983249N15260,0,TS,-119.5,23.0,10,EP,692, , ,1983-09-12 21:00:00,P__________P___,4,54
1983249N15260,0,TS,-120.0,23.1,11,EP,718,50,hurdat_epa,1983-09-13 00:00:00,O__________O___,2,50
1983249N15260,0,TS,-120.6,23.3,11,EP,746, , ,1983-09-13 03:00:00,P__________P___,2,46
1983249N15260,0,TS,-121.1,23.5,11,EP,770,40,hurdat_epa,1983-09-13 06:00:00,O__________P___,2,43
1983249N15260,0,TS,-121.6,23.7,10,EP,797, , ,1983-09-13 09:00:00,P__________P___,2,39
1983249N15260,0,TS,-122.1,24.0,10,EP,821,35,hurdat_epa,1983-09-13 12:00:00,O__________O___,2,35
1983249N15260,-1,TS,-122.6,24.3,10,EP,848, , ,1983-09-13 15:00:00,P__________P___,2,34
1983249N15260,-1,TS,-123.1,24.5,10,EP,883,30,hurdat_epa,1983-09-13 18:00:00,O__________P___,2,33
1983249N15260,-1,TS,-123.6,24.7,9,EP,920, , ,1983-09-13 21:00:00,P__________P___,2,31
1983249N15260,-1,TS,-124.0,24.9,9,EP,949,30,hurdat_epa,1983-09-14 00:00:00,O__________O___,1,30
1983249N15260,-1,TS,-124.5,25.0,8,EP,992, , ,1983-09-14 03:00:00,P__________P___,1,29
