SID,USA_SSHS,NATURE,LON,LAT,STORM_SPEED,BASIN,DIST2LAND,WMO_WIND,WMO_AGENCY,ISO_TIME,IFLAG,TD9636_STAGE,TD9636_WIND
1982259N15202,-1,TS,-158.0,14.7,5,EP,529,30,hurdat_epa,1982-09-15 18:00:00,O__________O___,1,30
1982259N15202,-1,TS,-158.2,14.9,5,EP,520, , ,1982-09-15 21:00:00,P__________P___,1,33
1982259N15202,0,TS,-158.3,15.1,4,EP,507,35,hurdat_epa,1982-09-16 00:00:00,O__________O___,2,35
1982259N15202,0,TS,-158.4,15.3,3,EP,494, , ,1982-09-16 03:00:00,P__________P___,2,36
1982259N15202,0,TS,-158.4,15.4,3,EP,485,35,hurdat_epa,1982-09-16 06:00:00,O__________P___,2,38
1982259N15202,0,TS,-158.5,15.6,4,EP,474, , ,1982-09-16 09:00:00,P__________P___,2,39
1982259N15202,0,TS,-158.7,15.7,5,EP,479,40,hurdat_epa,1982-09-16 12:00:00,O__________O___,2,40
1982259N15202,0,TS,-158.8,15.9,5,EP,470, , ,1982-09-16 15:00:00,P__________P___,2,39
1982259N15202,0,TS,-159.0,16.0,4,EP,477,35,hurdat_epa,1982-09-16 18:00:00,O__________P___,2,38
1982259N15202,0,TS,-159.2,16.0,5,EP,492, , ,1982-09-16 21:00:00,P__________P___,2,36
1982259N15202,0,TS,-159.4,15.8,4,EP,523,35,hurdat_epa,1982-09-17 00:00:00,O__________O___,2,35
1982259N15202,0,TS,-159.5,15.7,3,EP,539, , ,1982-09-17 03:00:00,P__________P___,2,35
1982259N15202,0,TS,-159.6,15.5,3,EP,562,35,hurdat_epa,1982-09-17 06:00:00,O__________P___,2,35
1982259N15202,0,TS,-159.7,15.4,3,EP,577, , ,1982-09-17 09:00:00,P__________P___,2,35
1982259N15202,0,TS,-159.8,15.3,4,EP,593,35,hurdat_epa,1982-09-17 12:00:00,O__________O___,2,35
1982259N15202,0,TS,-159.9,15.1,4,EP,616, , ,1982-09-17 15:00:00,P__________P___,2,35
1982259N15202,0,TS,-160.0,14.9,3,EP,640,35,hurdat_epa,1982-09-17 18:00:00,O__________P___,2,35
1982259N15202,0,TS,-160.0,14.9,1,EP,640, , ,1982-09-17 21:00:00,P__________P___,2,35
1982259N15202,0,TS,-160.0,14.9,0,EP,640,35,hurdat_epa,1982-09-18 00:00:00,O__________O___,2,35
1982259N15202,-1,TS,-160.0,14.8,0,EP,648, , ,1982-09-18 03:00:00,P__________P___,2,34
1982259N15202,-1,TS,-160.0,14.8,0,EP,648,30,hurdat_epa,1982-09-18 06:00:00,O__________P___,2,33
1982259N15202,-1,TS,-160.0,14.9,1,EP,640, , ,1982-09-18 09:00:00,P__________P___,2,31
1982259N15202,-1,TS,-160.1,14.8,5,EP,655,30,hurdat_epa,1982-09-18 12:00:00,O__________O___,1,30
1982259N15202,-1,TS,-160.3,14.5,9,EP,694, , ,1982-09-18 15:00:00,P__________P___,1,30
1982259N15202,-1,TS,-160.7,14.1,11,EP,756,30,hurdat_epa,1982-09-18 18:00:00,O__________P___,1,30
1982259N15202,-1,TS,-161.1,13.7,10,EP,818, , ,1982-09-18 21:00:00,P__________P___,1,30
1982259N15202,-1,TS,-161.5,13.4,10,EP,873,30,hurdat_epa,1982-09-19 00:00:00,O__________O___,1,30
